Vrijeme,Vlažnost (%),Temperatura (°C),Tlak (hPa),Prosječna Vlažnost (%),Prosječna Temperatura (°C),Prosječni Tlak (hPa),Napon (V),Brzina vjetra (m/s)
15:30:21,79.6,22.8,999.68,,,,0.38,0.0
15:35:21,80.8,23.2,999.87,,,,0.37,0.0
15:40:21,81.6,22.5,1000.17,,,,0.37,0.0
15:45:21,81.4,22.6,1000.32,,,,0.37,0.0
15:50:21,80.5,22.8,1000.43,,,,0.37,0.0
15:55:22,80.6,22.7,1000.54,,,,0.37,0.0
16:00:22,82.5,22.5,1000.69,,,,0.38,0.0
16:05:22,81.7,22.1,1000.93,,,,0.37,0.0
16:10:22,82.2,22.0,1001.01,,,,0.38,0.0
16:15:23,83.1,22.0,1001.04,81.4,22.52,1000.47,0.37,0.0
16:20:23,81.9,21.9,1001.1,,,,0.38,0.0
16:25:23,82.2,21.8,1000.98,,,,0.37,0.0
16:30:23,83.6,21.8,1001.03,81.97,22.22,1000.81,0.37,0.0
16:35:24,83.8,21.5,1001.0,,,,0.38,0.0
16:40:24,84.1,21.6,1000.87,,,,0.38,0.0
16:45:24,85.4,21.4,1000.83,,,,0.42,0.4
16:50:24,86.2,21.1,1000.84,83.42,21.72,1000.95,0.42,0.3
16:55:24,86.3,21.0,1000.85,,,,0.37,0.0
17:00:25,87.0,20.8,1001.01,,,,0.37,0.0
17:09:26,87.3,20.8,1001.09,84.78,21.37,1000.96,0.37,0.0
17:14:26,86.8,21.0,1001.26,,,,0.36,0.0
17:19:27,86.9,20.8,1001.2,,,,0.37,0.0
17:24:27,87.3,20.7,1001.21,86.11,21.07,1001.02,0.38,0.0
17:29:27,86.9,20.7,1001.2,,,,0.37,0.0
17:34:27,85.8,20.7,1001.13,,,,0.38,0.0
17:39:27,87.1,20.5,1001.05,,,,0.43,0.69
17:44:28,86.7,20.4,1001.19,86.81,20.74,1001.08,0.41,0.2
17:49:28,87.9,20.4,1001.18,,,,0.38,0.0
17:54:28,86.7,20.8,1001.38,,,,0.38,0.0
17:59:28,85.5,20.7,1001.19,86.76,20.67,1001.2,0.38,0.0
18:04:29,86.5,20.5,1001.15,,,,0.38,0.0
18:09:29,87.7,20.4,1001.0,,,,0.38,0.0
18:14:29,89.0,20.6,1000.85,86.98,20.57,1001.13,0.37,0.0
18:19:29,87.5,20.7,1000.79,,,,0.43,0.59
18:24:30,86.4,21.1,1000.77,,,,0.38,0.0
18:29:30,86.0,21.1,1000.63,,,,0.37,0.0
18:34:30,85.8,20.9,1000.58,86.9,20.72,1001.01,0.39,0.0
18:39:30,85.9,20.7,1000.42,,,,0.38,0.0
18:44:30,85.4,20.6,1000.42,,,,0.39,0.0
18:49:31,85.4,20.4,1000.3,86.56,20.7,1000.69,0.38,0.0
18:54:31,83.3,20.6,1000.24,,,,0.39,0.0
18:59:31,84.6,20.4,1000.19,,,,0.39,0.0
19:04:31,86.5,20.4,1000.2,85.68,20.69,1000.45,0.39,0.0
19:09:32,86.8,20.2,1000.13,,,,0.38,0.0
19:14:32,84.2,19.9,1000.07,,,,0.38,0.0
19:19:32,83.9,19.9,1000.02,,,,0.38,0.0
19:24:32,84.0,20.1,999.97,85.0,20.32,1000.26,0.38,0.0
19:29:32,84.9,20.0,999.95,,,,0.35,0.0
19:34:33,82.1,19.7,999.81,,,,0.39,0.0
19:39:33,82.7,19.6,999.73,84.3,20.08,1000.03,0.39,0.0
19:44:33,81.8,19.6,999.6,,,,0.39,0.0
19:49:33,80.2,19.6,999.64,,,,0.36,0.0
19:54:34,80.6,19.6,999.75,83.12,19.82,999.87,0.37,0.0
19:59:34,82.0,20.3,1000.21,,,,0.38,0.0
20:04:34,80.9,20.7,1000.52,,,,0.39,0.0
20:09:34,79.4,21.4,1000.54,,,,0.37,0.0
20:14:34,78.4,21.3,1000.4,81.3,20.18,999.97,0.37,0.0
20:19:35,81.1,20.5,1000.06,,,,0.35,0.0
20:24:35,83.1,19.8,999.98,,,,0.36,0.0
20:29:35,83.3,19.6,999.87,81.08,20.24,1000.06,0.36,0.0
20:34:35,85.8,19.5,999.91,,,,0.37,0.0
